demand_node_index,truck_node_index,distance,scaled_demand
demand2,truck1,231.10864039106482,10
demand2,truck6,201.15757059203833,15
demand2,truck7,161.8319905174385,21
demand2,truck8,113.77854156039554,28
demand2,truck17,289.32711131321645,2
demand2,truck27,355.8132278631459,0
demand2,truck29,417.79710871686734,0
demand2,truck33,532.8622178416304,0
demand2,truck34,469.07802378019073,0
demand2,truck35,459.8996421904717,0
demand2,truck36,482.9837096927662,0
demand2,truck37,480.15785939812326,0
demand2,truck43,593.4367886101345,0
demand2,truck49,680.0713394058387,0
demand2,truck54,345.3037822215337,0
demand11,truck1,365.8144800750022,0
demand11,truck6,318.12875063079963,0
demand11,truck7,296.537830201376,0
demand11,truck8,250.43514193574634,1
demand11,truck17,82.60599846203378,5
demand11,truck27,265.47758133581965,1
demand11,truck29,211.94839262857775,2
demand11,truck33,327.01350175334073,0
demand11,truck34,263.2293076919011,1
demand11,truck35,254.05092610218213,1
demand11,truck36,277.13499360447656,1
demand11,truck37,357.8787458582742,0
demand11,truck43,387.5880725218448,0
demand11,truck49,474.2226233175491,0
demand11,truck54,139.45506613324417,4
demand12,truck1,307.3805327790353,0
demand12,truck6,277.4294629800088,6
demand12,truck7,238.103882905409,15
demand12,truck8,190.05043394836605,27
demand12,truck17,194.45700745233688,26
demand12,truck27,293.8910185703953,2
demand12,truck29,322.92700485598783,0
demand12,truck33,437.99211398075084,0
demand12,truck34,374.2079199193112,0
demand12,truck35,365.0295383295922,0
demand12,truck36,388.1136058318867,0
demand12,truck37,418.23565010537266,0
demand12,truck43,498.56668474925493,0
demand12,truck49,585.2012355449592,0
demand12,truck54,250.43367836065423,12
demand14,truck1,313.0633615717594,0
demand14,truck6,283.11229177273293,3
demand14,truck7,243.78671169813313,10
demand14,truck8,195.7332627410902,18
demand14,truck17,177.56782596756054,21
demand14,truck27,277.00183708561906,4
demand14,truck29,306.0378233712115,0
demand14,truck33,421.1029324959745,0
demand14,truck34,357.3187384345349,0
demand14,truck35,348.14035684481587,0
demand14,truck36,371.22442434711036,0
demand14,truck37,401.3464686205964,0
demand14,truck43,481.6775032644786,0
demand14,truck49,568.3120540601828,0
demand14,truck54,233.5444968758779,12
demand16,truck1,227.81756052314952,11
demand16,truck6,180.13183107894693,18
demand16,truck7,158.5409106495232,21
demand16,truck8,163.41396295977228,20
demand16,truck17,258.38985105607077,6
demand16,truck27,251.53376530912502,7
demand16,truck29,386.8598484597217,0
demand16,truck33,501.92495758448473,0
demand16,truck34,438.1407635230451,0
demand16,truck35,428.96238193332607,0
demand16,truck36,451.97574062584545,0
demand16,truck37,375.8783968441023,0
demand16,truck43,562.4288195432136,0
demand16,truck49,649.1340791486931,0
demand16,truck54,314.3665219643881,0
demand17,truck1,335.868434603852,0
demand17,truck6,288.1827051596494,0
demand17,truck7,266.5917847302257,1
demand17,truck8,220.48909646459612,2
demand17,truck17,315.4649845608946,0
demand17,truck27,221.48177840676445,2
demand17,truck29,357.0710837879117,0
demand17,truck33,472.1361929126747,0
demand17,truck34,408.35199885123507,0
demand17,truck35,399.17361726151603,0
demand17,truck36,421.9237537234849,0
demand17,truck37,345.82640994174176,0
demand17,truck43,532.3768326408532,0
demand17,truck49,619.345314476883,0
demand17,truck54,284.57775729257804,0
demand18,truck1,359.9127789796293,0
demand18,truck6,312.2270495354268,0
demand18,truck7,290.63612910600307,2
demand18,truck8,244.5334408403735,14
demand18,truck17,189.7853309900654,28
demand18,truck27,221.41502848487693,20
demand18,truck29,250.45101477046936,12
demand18,truck33,365.51612389523234,0
demand18,truck34,301.7319298337927,0
demand18,truck35,292.5535482440737,2
demand18,truck36,315.63761574636817,0
demand18,truck37,345.75966001985427,0
demand18,truck43,426.09069466373643,0
demand18,truck49,512.7252454594407,0
demand18,truck54,177.95768827513578,31
