index,x,y
truck1,112.75506445672193,58.06677796327212
truck6,56.22222222222222,129.48580968280467
truck7,113.0656844689994,131.03839732888147
truck8,164.62860650705954,130.41736227045075
truck15,210.60036832412524,207.11519198664442
truck17,310.62001227747083,222.02003338898166
truck23,128.59668508287294,263.9398998330551
truck27,173.94720687538367,340.3272120200334
truck29,296.0208717004297,350.8848080133556
truck33,393.24493554327813,377.2787979966611
truck34,337.9545733578883,395.28881469115197
truck35,288.8766114180479,385.35225375626044
truck36,303.16513198281154,414.85141903171956
truck37,209.35788827501537,398.3939899833055
truck43,290.42971147943524,506.7646076794658
truck45,395.4192756292204,495.27545909849755
truck49,492.64333947206876,479.7495826377296
truck53,209.35788827501537,280.0868113522538
truck54,320.5598526703499,273.5659432387312
truck44,315.5899324739104,295.92320534223705
