index,name,x,y,demand
demand2,ReLU Realty,190.72068753836712,72.661101836394,30
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,5
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,50
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,35
demand16,Rothberg Tower,129.21792510742787,168.6110183639399,30
demand17,Multimodal Distribution Center,68.02578268876611,229.7829716193656,5
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,50
demand22,Vertex Tower,342.92449355432785,231.3355592654424,10
demand26,Nonlinear Thinking Center,356.2811540822591,317.0383973288815,5
demand33,Interior Point Decorating,267.1332105586249,362.0634390651085,40
demand34,Scheduling Station,359.3873542050338,363.9265442404007,5
demand38,Multi-Threads Thrift Store,416.23081645181094,442.7979966611019,50
demand40,Land & Harcourt's B&B,375.2289748311848,491.23873121869786,25
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,30
demand51,Farkas' Lemma-nade,391.38121546961327,186,50
